X50.,X2.5.,X97.5.,Species
1.95582451650628,-4.368832779857,8.16579865137645,Barred Owl
X50.,X2.5.,X97.5.,Species
0.583199803201884,-4.19896802135687,5.58170554070409,Great Horned Owl
X50.,X2.5.,X97.5.,Species
-0.578353656819786,-5.11080101786068,4.22434479417917,Northern Saw-whet Owl
X50.,X2.5.,X97.5.,Species
1.9892213455755,-4.32545153565265,8.38304900843519,Barred Owl
X50.,X2.5.,X97.5.,Species
0.535637780830633,-4.18304837729907,5.54677473180234,Great Horned Owl
X50.,X2.5.,X97.5.,Species
-0.706206484298771,-5.18046842235505,3.85225746305476,Northern Saw-whet Owl
